ERNnem,refCode,Reference,Host,Nematode
112,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Diabrotica balteata,Heterorhabditis bacteriophora
113,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Curculio caryae,Heterorhabditis bacteriophora
114,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Diaprepes abbreviatus,Heterorhabditis bacteriophora
115,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Diaprepes abbreviatus,Heterorhabditis bacteriophora
116,1246,"Akhurst, R. J., 1987. Use of starch gel electrophoresis in the taxonomy of the genus Heterorhabditis (Nematoda: Heterorhabditidae). Nematologica 33: 11-9.",Helicoverpa punctigera,Heterorhabditis bacteriophora
117,1246,"Akhurst, R. J., 1987. Use of starch gel electrophoresis in the taxonomy of the genus Heterorhabditis (Nematoda: Heterorhabditidae). Nematologica 33: 11-9.",Helicoverpa zea,Heterorhabditis bacteriophora
118,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Diatraea grandiosella,Heterorhabditis bacteriophora
119,1291,"Poinar, G. O., Jr., Jackson, T. and Klein, 1987.  Heterorhabditis megidis sp. n. (Heterorhabditidae: Rhabditida), parasitic in the Japanese beetle, Popillia japonica (Scarabaedae: Coleoptera), in Ohio.  Proc. Helminth. Soc. Wash. 54: 53-59.",Popillia japonica,Heterorhabditis megidis
120,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Popillia japonica,Heterorhabditis megidis
121,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Heterorhabditis megidis
122,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Heterorhabditis megidis
123,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Heterorhabditis megidis
124,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Heterorhabditis megidis
125,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllopertha horticola,Heterorhabditis megidis
